# PyRadio Playlist File - Format:,,,,,,,,,
# name,url,encoding,icon,profile,buffering,force-http,volume,referer,player
定西交通广播,http://ytcastmp3.radio.cn/83/stream_21900.mp3?type=1&key=80cd6cd1ec103e6d90d6594a3ccc45a9&time=68f9d0f9
酒泉综合广播,http://ytcastmp3.radio.cn/87/stream_11672.mp3?type=1&key=2c29321f63762e294203e17c0bf78aec&time=68f9d0f9
天水交通广播,http://ytcastmp3.radio.cn/77/stream_21389.mp3?type=1&key=cacd8b7677a78815cc5120af0da3d08e&time=68f9d0f9
天水综合广播,http://ytcastmp3.radio.cn/77/stream_21388.mp3?type=1&key=bf6e4323f4b7348f400827ebe4d7c489&time=68f9d0f9
天水音乐文艺广播,http://ytcastmp3.radio.cn/77/stream_21390.mp3?type=1&key=14cad1da6832de89692fcba858519922&time=68f9d0f9
武威新闻综合广播,http://ytcastmp3.radio.cn/90/stream_22538.mp3?type=1&key=cec4e3a1d6e03971872ffe921de46960&time=68f9d0f9
张掖新闻综合广播,http://ytcastmp3.radio.cn/62/stream_21138.mp3?type=1&key=39e6f403ac8c2c3bcadb64540ec47b20&time=68f9d0f9
广东城市之声,http://ytcastmp3.radio.cn/63/stream_20491.mp3?type=1&key=e9d51bfcf2db733dbfbd9a7a3be01d22&time=68f9d107
广东股市广播,http://ytcastmp3.radio.cn/63/stream_20488.mp3?type=1&key=259816f3e311eb3d8dc793f723e0a5ec&time=68f9d107
广东交通之声,http://ytcastmp3.radio.cn/62/stream_20495.mp3?type=1&key=036e0f04c8ca232b82c163464bfeeef3&time=68f9d107
广东南方生活广播,http://ytcastmp3.radio.cn/62/stream_20494.mp3?type=1&key=e239c86f6a85cd2061d7fee0d3689029&time=68f9d107
广东文体广播,http://ytcastmp3.radio.cn/63/stream_20490.mp3?type=1&key=6c70390e966397c2bfb7b183a59794fd&time=68f9d107
广东新闻广播,http://ytcastmp3.radio.cn/63/stream_20487.mp3?type=1&key=0fb203f0d9106a683bb3298732a88f53&time=68f9d107
广东音乐之声,http://ytcastmp3.radio.cn/63/stream_20489.mp3?type=1&key=a09ff127f06bc702e2b545bb28aa7e74&time=68f9d107
广东珠江之声,http://ytcastmp3.radio.cn/62/stream_20492.mp3?type=1&key=8a78832a11856e089f9fe2831f7340ce&time=68f9d107
广东珠江经济台,http://ytcastmp3.radio.cn/62/stream_20493.mp3?type=1&key=6bdcc9cdce822a66ec6fe78af9f2da53&time=68f9d107
广州金曲音乐广播,http://ytcastmp3.radio.cn/71/stream_20730.mp3?type=1&key=77a9d79c66f498249389eadc6f4ed41f&time=68f9d107
广州交通广播,http://ytcastmp3.radio.cn/71/stream_20731.mp3?type=1&key=42f10d376e60ff0182913a98cea70bf4&time=68f9d107
广州青少年广播,http://ytcastmp3.radio.cn/71/stream_20729.mp3?type=1&key=8ac851b8ce9d8171d9a0f19089227d00&time=68f9d107
广州新闻资讯广播,http://ytcastmp3.radio.cn/71/stream_20728.mp3?type=1&key=81cd729a76f6dc19a42a47e26c7de8bb&time=68f9d107
深圳交通频率-快乐1062,http://ytcastmp3.radio.cn/62/stream_20497.mp3?type=1&key=ca863fe084e8a8fba9229818790b3d77&time=68f9d107
深圳生活频率-生活942,http://ytcastmp3.radio.cn/62/stream_20499.mp3?type=1&key=04c600f98e90fd14b3a6507c91cf75df&time=68f9d107
深圳新闻频率-先锋898,http://ytcastmp3.radio.cn/75/stream_21074.mp3?type=1&key=0d60eaa8561205777e37629d20d73730&time=68f9d107
深圳音乐频率-飞扬971,http://ytcastmp3.radio.cn/62/stream_20498.mp3?type=1&key=0de235f580a413c74b04c02af847527d&time=68f9d107
